pairid,lineelement1,linewav1,linepotential1,lineloggf1,lineelement2,linewav2,linepotential2,lineloggf1,r0,ap_wom,a_wom,b_wom,c_wom,sigma_wom,ap_wm,a_wm,b_wm,c_wm,d_wm,e_wm,f_wm,sigma_wm
2,K1,15168.38,2.67,0.24,Si1,15376.83,6.22,-0.78,1,0,-271,-1507,4531,64,0,-235,-1481,4536,851,51,782,62
3,Fe1,15194.49,2.22,-4.85,Fe1,15207.53,5.39,-0.1,0.5,0,-1894,-2179,4616,60,0,-942,-2144,4600,319,-711,0,60
4,Ti1,15543.76,1.88,-1.48,Fe1,15591.49,6.24,0.36,0.8,0,-89,-1139,4616,41,0,67,-1155,4614,160,-492,427,43
5,Ti1,15602.84,2.27,-1.81,Fe1,16040.66,5.87,-0.07,0.5,-835,756,-1110,4434,34,-822,711,-1111,4438,304,-574,572,31
6,Ti1,15715.57,1.87,-1.59,Fe1,15621.65,5.54,0.17,0.8,0,-185,-1128,4572,53,0,-40,-1124,4574,269,-295,268,54
8,Co1,16757.6,3.41,-1.67,Fe1,16316.32,6.28,0.92,0.4,0,764,-2075,4484,47,0,1005,-2078,4477,429,-295,508,48
9,Al1,16763.36,4.09,-0.64,Fe1,16517.23,6.29,-0.37,1.2,0,940,-2075,4654,94,0,952,-2022,4655,112,14,1056,91
10,Fe1,15490.34,2.2,-4.85,Fe1,15534.24,5.64,-0.47,0.8,0,-1602,-1709,4662,72,0,-639,-1730,4640,251,-1038,0,71
11,Ti1,15698.98,1.89,-2.19,Fe1,15723.59,5.62,-0.12,1,0,229,-964,4219,73,0,293,-892,4240,458,-28,162,78
12,Ti1,16401.51,2.33,-2.34,Fe1,16394.39,5.96,0,0.5,0,-34,-1290,4559,61,0,34,-1277,4560,125,432,446,68
13,Fe1,15611.15,3.41,-3.2,Fe1,15604.22,6.24,0.2,0.6,0,-956,-3962,4580,87,0,912,-3868,4566,707,-2189,0,87
