pairid,order,lineid1,linewav1,lineelement1,linepotential1,lineid2,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_logLDR,std_logLDR,min_logLDR,max_logLDR
1,57,2,9770.3011,22,0.8484,7,9861.7337,26,5.0638,-2346.72565570534,5200.92552388497,13,116.336267918333,0.045074397015294,0.213774285249738,-0.392663928979305,0.487360359301146
2,57,3,9787.6874,22,0.8259,9,9887.0468,14,6.2227,-1808.12908339509,6188.65066056551,12,134.046952062048,0.354400917240968,0.279757031735312,0.081739319473413,0.86455170146553
3,56,18,10034.491,22,1.4601,20,10068.329,14,6.0986,-858.839752805922,5267.92075239469,12,59.2947471404888,0.255127818636537,0.410046002132137,-0.848837333520493,0.590709887621051
4,54,33,10340.885,26,2.1979,43,10469.652,26,3.8835,-6356.04899272866,4255.64800146764,18,111.290276442071,-0.160527215986262,0.090460098129814,-0.289989136116202,0.019883764152781
5,54,34,10343.819,20,2.9325,37,10371.263,14,4.9296,-3634.05111604681,5615.39606858843,20,72.6224836774865,0.036005599977199,0.14724317663196,-0.091824543260534,0.519766307913265
6,54,38,10395.794,26,2.1759,40,10407.037,14,6.6161,-1810.5906441207,6257.89614179074,16,61.4543275259809,0.255710156856351,0.190743407504893,0.087748436090872,1.03000190907138
7,54,39,10396.802,22,0.8484,32,10330.228,28,4.1054,-1660.31546823857,5732.67176972403,20,76.2848733597198,0.26236603597547,0.315878544529124,-0.242162830397093,0.899428406670813
8,54,41,10423.027,26,2.6924,35,10347.965,26,5.3933,-2801.65725339576,5360.49955046482,18,121.143457342741,0.018856230683768,0.182232524404206,-0.326101583787558,0.20126820136441
9,54,42,10423.743,26,3.0713,30,10288.944,14,4.9201,-2482.79791052973,4816.5162508584,19,126.524644220024,-0.214180947361253,0.21335547323022,-0.542465386113935,0.289638599396852
10,53,44,10486.25,24,3.0106,53,10603.425,14,4.9296,-2364.00537828786,4043.34830671706,15,130.43406852062,-0.429042842865729,0.21828964909107,-0.86858328301484,-0.083387358289122
11,53,45,10496.113,22,0.836,47,10530.514,28,4.1054,-1594.24655425791,5733.63676839235,17,84.3087821438149,0.319130730579808,0.325718812233431,-0.17317572354144,0.91943754270814
12,53,46,10510.01,24,3.0133,52,10585.141,14,4.9538,-1696.66722299835,3664.62757954249,15,128.325618075863,-0.790261238135674,0.20844670435777,-1.41776184250191,-0.650716129385749
13,53,48,10532.234,26,3.9286,51,10582.16,14,6.2227,-2268.05486342576,6336.15678451227,15,82.8483232762255,0.262430222499654,0.177422011053445,0.12931385280759,0.808340892503225
14,53,50,10577.139,26,3.3014,49,10535.709,26,6.2057,-2867.41908621258,5168.98623911857,20,141.286587641287,-0.044599184627621,0.184828772983999,-0.387713343018434,0.359553144396001
15,53,56,10616.721,26,3.2671,57,10627.648,14,5.8625,-2056.60207382692,4053.94586381163,18,88.7749003329561,-0.535267953141637,0.243853741026987,-1.03668269309197,-0.06572029095138
16,52,66,10753.004,26,3.9597,63,10727.406,14,5.984,-4196.5227770033,3226.97110899112,16,134.416378701209,-0.509774419779171,0.131584521036867,-0.694777035942395,-0.24428873865024
17,52,71,10818.274,26,3.9597,75,10843.858,14,5.8625,-3447.3725281243,3644.33115403136,16,94.1014876484077,-0.507409547559559,0.150440519132835,-0.717122612499713,-0.326592029079497
18,52,72,10821.66,24,3.0133,76,10849.465,26,5.5392,-2166.08398481543,4796.08277196175,16,133.819380817451,-0.112332333037432,0.210637908289443,-0.62145610392331,0.24907472718632
19,52,74,10838.97,20,4.8775,82,10885.333,14,6.1807,-2696.93054766279,4186.21223322485,20,147.104254420052,-0.42993584363524,0.219830584742135,-0.727460463490348,0.051139852936392
20,52,79,10881.758,26,2.845,78,10869.536,14,5.0823,-4029.52871605402,2397.80536438856,15,90.0793941918622,-0.709080376817414,0.14206539857324,-0.904192763519323,-0.41908079737848
21,52,81,10884.262,26,3.9286,80,10882.809,14,5.984,-3316.31661351514,4957.81227572659,18,133.305212176873,-0.173242001067259,0.160410443618608,-0.351439712337295,0.238503853962892
22,48,85,11638.26,26,2.1759,86,11640.941,14,6.2739,-3205.12025459951,6494.35929878857,15,104.992344342785,0.251084916310379,0.13739544207307,0.102829605380417,0.652129024929901
23,48,89,11772.838,19,1.6171,88,11700.239,14,6.2694,-2801.03268627972,6285.06189449811,16,107.498278007648,0.248666249526238,0.171380520845192,0.080333665702557,0.881718080722802
24,47,93,11884.083,26,2.2227,96,11984.198,14,4.9296,-4080.27262079875,4788.89460118833,12,100.402452046948,-0.212194851453033,0.109760215486875,-0.314041842229465,0.009825040019832
25,47,94,11955.955,20,4.1308,91,11863.92,14,5.984,-1843.52198498296,5424.88384580624,12,130.004394722083,-0.048877061348105,0.29539910016859,-0.38599370004986,0.473574031724328
26,47,95,11973.046,26,2.1759,97,11991.568,14,4.9201,-4489.74039122936,5439.31513331014,13,102.289937951852,-0.052358096424755,0.093174220946844,-0.145778532845562,0.145670814434025
27,46,108,12190.098,26,3.6352,107,12178.339,14,6.2694,-2031.01588287196,5596.20283408874,10,112.791391666227,0.046501728408165,0.257040794336635,-0.181875935869091,0.777952337440721
28,46,109,12227.112,26,4.607,106,12175.733,14,6.6192,-2097.37352834806,6054.42583907667,14,148.805585724692,0.17898499433249,0.21679400390546,0.019976801438215,0.728032179009219
29,45,111,12342.916,26,4.6382,121,12583.924,14,6.6161,-2426.80528760691,5398.15459667834,12,106.216899558954,-0.143899569582859,0.164437401496869,-0.293718640462597,0.370731394556431
30,45,116,12432.273,19,1.61,112,12390.154,14,5.0823,-2577.23428493463,5393.8146335283,18,118.951252821827,-0.001367099049825,0.211752345025726,-0.27499322263095,0.648594015692643
31,45,119,12532.84,24,2.7088,113,12395.832,14,4.9538,-1610.30686949452,4529.24350709367,14,118.613518614815,-0.318690398370092,0.307553270312979,-1.01475860629083,0.228186419174203
32,45,120,12556.996,26,2.2786,117,12433.452,12,5.9328,-4150.37144952361,3968.66094931489,11,72.0276638432035,-0.297542823488832,0.121764739151729,-0.543778623046304,-0.203686112530983
33,44,131,12847.034,22,1.4432,123,12615.928,26,4.6382,-1905.31231444648,5381.54717807955,13,139.011157522829,0.138628260579361,0.283072444441985,-0.365681674231428,0.660303137800831
34,43,135,12909.07,20,4.43,145,13102.057,14,6.0827,-2027.89070004931,4622.91446623486,17,145.218436840973,-0.336642178751243,0.262014717862084,-0.729347886296104,0.432582516062685
35,43,136,12910.09,24,2.7079,149,13152.743,14,4.9201,-1677.2905900376,4939.21021972854,10,107.616399568246,-0.084935114581855,0.238865539267347,-0.665254957508838,0.127475818363929
36,43,140,12975.91,25,2.8884,142,13029.524,14,6.0827,-2415.44612076563,6576.51865031316,20,97.1782593003466,0.369834560261389,0.175707724049054,0.154824534676685,1.17224331824755
37,43,141,13006.684,26,2.9904,150,13176.888,14,5.8625,-2751.25250034933,3884.02964230747,15,124.914325127376,-0.483359979753106,0.188481327078085,-0.790550259578414,-0.145430473158092
38,43,144,13033.554,20,4.441,143,13030.921,14,6.0787,-2542.76912928801,5276.73732764715,18,131.262158395853,-0.081039515024168,0.204705578834733,-0.359406478347288,0.693230002081617
