d_min,d_max,Gr_g2_min,Gr_g2_max,Gr_gn_min,Gr_gn_max,Gr_g3_min,Gr_g3_max,Gr_g4_min,Gr_g4_max,Gr_g5_min,Gr_g5_max
0.0,0.01,0.0,2.4999999999999998e-05,1.9999999999999998e-05,4.4999999999999996e-05,3.5e-05,5.9999999999999995e-05,4.9999999999999996e-05,7.5e-05,0.0,0.0
0.01,0.024,0.0,2.4999999999999998e-05,1.9999999999999998e-05,4.4999999999999996e-05,3.5e-05,5.9999999999999995e-05,4.9999999999999996e-05,7.5e-05,6.5e-05,8.999999999999999e-05
0.024,0.03,0.0,2.4999999999999998e-05,1.9999999999999998e-05,4.4999999999999996e-05,3.5e-05,5.9999999999999995e-05,4.9999999999999996e-05,7.5e-05,7e-05,9.499999999999999e-05
0.03,0.04,4.9999999999999996e-06,2.9999999999999997e-05,2.4999999999999998e-05,4.9999999999999996e-05,4.4999999999999996e-05,7e-05,5.9999999999999995e-05,8.499999999999999e-05,7.999999999999999e-05,0.00010499999999999999
0.04,0.05,4.9999999999999996e-06,3.5e-05,2.9999999999999997e-05,5.9999999999999995e-05,4.9999999999999996e-05,7.999999999999999e-05,7e-05,9.999999999999999e-05,9.499999999999999e-05,0.000125
0.05,0.065,9.999999999999999e-06,3.9999999999999996e-05,3.9999999999999996e-05,7e-05,5.9999999999999995e-05,8.999999999999999e-05,7.999999999999999e-05,0.00010999999999999999,0.00010999999999999999,0.00014
0.065,0.08,9.999999999999999e-06,4.4999999999999996e-05,3.9999999999999996e-05,7.5e-05,6.5e-05,9.999999999999999e-05,8.999999999999999e-05,0.000125,0.00013,0.000165
0.08,0.1,1.4999999999999999e-05,4.9999999999999996e-05,4.9999999999999996e-05,8.499999999999999e-05,7.5e-05,0.00010999999999999999,0.00010499999999999999,0.00014,0.000155,0.00018999999999999998
0.1,0.12,1.4999999999999999e-05,5.4999999999999995e-05,4.9999999999999996e-05,8.999999999999999e-05,8.499999999999999e-05,0.000125,0.000125,0.000165,0.00017999999999999998,0.00021999999999999998
0.12,0.14,1.4999999999999999e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00010499999999999999,9.999999999999999e-05,0.000145,0.000145,0.00018999999999999998,0.00019999999999999998,0.000245
0.14,0.16,1.9999999999999998e-05,7e-05,7e-05,0.00011999999999999999,0.00011499999999999999,0.000165,0.000165,0.000215,0.000225,0.00027499999999999996
0.16,0.18,2.4999999999999998e-05,7.5e-05,7.5e-05,0.000125,0.00011999999999999999,0.00016999999999999999,0.00016999999999999999,0.00021999999999999998,0.00025,0.0003
0.18,0.2,3.5e-05,8.999999999999999e-05,8.999999999999999e-05,0.000145,0.00014,0.000195,0.000195,0.00025,0.00027499999999999996,0.00033
0.2,0.225,4.4999999999999996e-05,0.00010499999999999999,0.00010499999999999999,0.000165,0.00015999999999999999,0.00021999999999999998,0.00021999999999999998,0.00028,0.000305,0.000365
0.225,0.25,4.4999999999999996e-05,0.00010999999999999999,0.00010999999999999999,0.000175,0.00016999999999999999,0.000235,0.000235,0.0003,0.00033,0.000395
0.25,0.28,5.4999999999999995e-05,0.000125,0.000125,0.000195,0.00018999999999999998,0.00026,0.00026,0.00033,0.00037,0.00043999999999999996
0.28,0.315,5.4999999999999995e-05,0.00013,0.00013,0.000205,0.00019999999999999998,0.00027499999999999996,0.00027499999999999996,0.00035,0.00041,0.00048499999999999997
0.315,0.355,6.5e-05,0.000145,0.000145,0.000225,0.000225,0.000305,0.000305,0.000385,0.000455,0.000535
0.355,0.4,9.999999999999999e-05,0.00018999999999999998,0.00018999999999999998,0.00028,0.00028,0.00037,0.00037,0.00045999999999999996,0.0005099999999999999,0.0006
0.4,0.45,0.00010999999999999999,0.00020999999999999998,0.00020999999999999998,0.00031,0.00031,0.00041,0.00041,0.0005099999999999999,0.000565,0.000665
0.45,0.5,0.00010999999999999999,0.00021999999999999998,0.00021999999999999998,0.00033,0.00033,0.00043999999999999996,0.00043999999999999996,0.0005499999999999999,0.000625,0.000735
0.5,0.56,0.00011999999999999999,0.00023999999999999998,0.00023999999999999998,0.00035999999999999997,0.00035999999999999997,0.00047999999999999996,0.00047999999999999996,0.0006,0.0,0.0
0.56,0.63,0.00014,0.00026,0.00026,0.00037999999999999997,0.00037999999999999997,0.0005,0.0005,0.00062,0.0,0.0
0.63,0.71,0.000145,0.000285,0.000285,0.000425,0.000425,0.000565,0.000565,0.000705,0.0,0.0
0.71,0.8,0.00015,0.00031,0.00031,0.00047,0.00047,0.0006299999999999999,0.0006299999999999999,0.00079,0.0,0.0
0.8,0.9,0.00017999999999999998,0.00035,0.00035,0.00052,0.00052,0.00069,0.00069,0.00086,0.0,0.0
0.9,1.0,0.00019999999999999998,0.00039,0.00039,0.00058,0.00058,0.00077,0.00077,0.0009599999999999999,0.0,0.0
1.0,1.12,0.00021999999999999998,0.00043,0.00043,0.0006399999999999999,0.0006399999999999999,0.00085,0.00085,0.00106,0.0,0.0
1.12,1.25,0.00022999999999999998,0.00047,0.00047,0.00071,0.00071,0.00095,0.00095,0.0011899999999999999,0.0,0.0
1.25,1.4000000000000001,0.00027,0.00053,0.00053,0.00079,0.00079,0.00105,0.00105,0.00131,0.0,0.0
1.4000000000000001,1.6,0.00033,0.00061,0.00061,0.00089,0.00089,0.00117,0.00117,0.00145,0.0,0.0
1.6,1.8,0.00037999999999999997,0.0007,0.0007,0.0010199999999999999,0.0010199999999999999,0.00134,0.00134,0.00166,0.0,0.0
1.8,2.0,0.00039999999999999996,0.0007599999999999999,0.0007599999999999999,0.00112,0.00112,0.00148,0.00148,0.0018399999999999998,0.0,0.0
