Dw,Lw,rsmin,rsmax
0.003,0.003,0.0001,0.0007
0.003,0.004,0.0001,0.0007
0.003,0.005,0.0001,0.0007
0.0035,0.005,0.0001,0.0007
0.004,0.004,0.0002,0.0007
0.004,0.006,0.0002,0.0007
0.004,0.008,0.0002,0.0007
0.0045000000000000005,0.0045000000000000005,0.0002,0.0007
0.0045000000000000005,0.006,0.0002,0.0007
0.005,0.005,0.0002,0.0007
0.005,0.008,0.0002,0.0007
0.005,0.01,0.0002,0.0007
0.0055,0.0055,0.0002,0.0007
0.0055,0.008,0.0002,0.0007
0.006,0.006,0.0002,0.0007
0.006,0.008,0.0002,0.0007
0.006,0.009000000000000001,0.0002,0.0007
0.006,0.01,0.0002,0.0007
0.006,0.012,0.0002,0.0007
0.006500000000000001,0.006500000000000001,0.0002,0.0008
0.006500000000000001,0.008,0.0002,0.0008
0.006500000000000001,0.009000000000000001,0.0002,0.0008
0.007,0.007,0.0002,0.0008
0.007,0.01,0.0002,0.0008
0.007,0.014,0.0002,0.0008
0.0075,0.0075,0.0002,0.0008
0.0075,0.009000000000000001,0.0002,0.0008
0.0075,0.01,0.0002,0.0008
0.0075,0.011,0.0002,0.0008
0.008,0.008,0.0003,0.0008
0.008,0.01,0.0003,0.0008
0.008,0.012,0.0003,0.0008
0.008,0.014,0.0003,0.0008
0.008,0.016,0.0003,0.0008
0.008,0.02,0.0003,0.0008
0.009000000000000001,0.009000000000000001,0.0003,0.001
0.009000000000000001,0.01,0.0003,0.001
0.009000000000000001,0.012,0.0003,0.001
0.009000000000000001,0.013000000000000001,0.0003,0.001
0.009000000000000001,0.014,0.0003,0.001
0.01,0.01,0.0003,0.001
0.01,0.011,0.0003,0.001
0.01,0.014,0.0003,0.001
0.01,0.015,0.0003,0.001
0.01,0.016,0.0003,0.001
0.01,0.017,0.0003,0.001
0.01,0.025,0.0003,0.001
0.011,0.011,0.0003,0.001
0.011,0.012,0.0003,0.001
0.011,0.013000000000000001,0.0003,0.001
0.011,0.015,0.0003,0.001
0.011,0.02,0.0003,0.001
0.012,0.012,0.0003,0.001
0.012,0.014,0.0003,0.001
0.012,0.016,0.0003,0.001
0.012,0.017,0.0003,0.001
0.012,0.018000000000000002,0.0003,0.001
0.012,0.021,0.0003,0.001
0.012,0.022,0.0003,0.001
0.013000000000000001,0.013000000000000001,0.0003,0.0012
0.013000000000000001,0.018000000000000002,0.0003,0.0012
0.013000000000000001,0.02,0.0003,0.0012
0.014,0.014,0.0003,0.0012
0.014,0.015,0.0003,0.0012
0.014,0.02,0.0003,0.0012
0.014,0.022,0.0003,0.0012
0.015,0.015,0.0004,0.0012
0.015,0.016,0.0004,0.0012
0.015,0.017,0.0004,0.0012
0.015,0.022,0.0004,0.0012
0.015,0.024,0.0004,0.0012
0.016,0.016,0.0004,0.0012
0.016,0.017,0.0004,0.0012
0.016,0.018000000000000002,0.0004,0.0012
0.016,0.024,0.0004,0.0012
0.016,0.027,0.0004,0.0012
0.017,0.017,0.0004,0.0012
0.017,0.024,0.0004,0.0012
0.018000000000000002,0.018000000000000002,0.0004,0.0012
0.018000000000000002,0.019,0.0004,0.0012
0.018000000000000002,0.026000000000000002,0.0004,0.0012
0.018000000000000002,0.03,0.0004,0.0012
0.019,0.019,0.0004,0.0015
0.019,0.02,0.0004,0.0015
0.019,0.021,0.0004,0.0015
0.019,0.028,0.0004,0.0015
0.019,0.032,0.0004,0.0015
0.02,0.02,0.0004,0.0015
0.02,0.03,0.0004,0.0015
0.021,0.021,0.0005,0.0015
0.021,0.022,0.0005,0.0015
0.021,0.03,0.0005,0.0015
0.021,0.032,0.0005,0.0015
0.022,0.022,0.0005,0.0015
0.022,0.024,0.0005,0.0015
0.022,0.034,0.0005,0.0015
0.023,0.023,0.0005,0.0015
0.023,0.034,0.0005,0.0015
0.024,0.024,0.0005,0.0015
0.024,0.026000000000000002,0.0005,0.0015
0.024,0.036000000000000004,0.0005,0.0015
0.024,0.038,0.0005,0.0015
0.025,0.025,0.0005,0.0017
0.025,0.027,0.0005,0.0017
0.025,0.0335,0.0005,0.0017
0.025,0.036000000000000004,0.0005,0.0017
0.025,0.04,0.0005,0.0017
0.026000000000000002,0.026000000000000002,0.0005,0.0017
0.026000000000000002,0.028,0.0005,0.0017
0.026000000000000002,0.04,0.0005,0.0017
0.026000000000000002,0.048,0.0005,0.0017
0.028,0.028,0.0006,0.0017
0.028,0.03,0.0006,0.0017
0.028,0.036000000000000004,0.0006,0.0017
0.028,0.044,0.0006,0.0017
0.028,0.046,0.0006,0.0017
0.03,0.03,0.0006,0.0017
0.03,0.042,0.0006,0.0017
0.03,0.048,0.0006,0.0017
0.03,0.052000000000000005,0.0006,0.0017
0.032,0.032,0.0006,0.0022
0.032,0.046,0.0006,0.0022
0.032,0.052000000000000005,0.0006,0.0022
0.034,0.034,0.0006,0.0022
0.034,0.055,0.0006,0.0022
0.034,0.066,0.0006,0.0022
0.036000000000000004,0.036000000000000004,0.0007,0.0022
0.036000000000000004,0.058,0.0007,0.0022
0.038,0.038,0.0007,0.0022
0.038,0.052000000000000005,0.0007,0.0022
0.038,0.062,0.0007,0.0022
0.04,0.04,0.0007,0.0022
0.04,0.065,0.0007,0.0022
