,node_from,node_to,capacity,expand,expand2,distance,cost_scaling,type,comment,capacity2,reactance,max_newCap
0,5,1,3600.0,0,0,0.0,1,ac,zero distance to get zero losses,0,0,-1
1,4,1,6000.0,0,0,0.0,1,ac,zero distance to get zero losses,0,0,-1
2,6,2,1500.0,0,0,0.0,1,ac,zero distance to get zero losses,0,0,-1
3,7,3,1500.0,0,0,0.0,1,ac,zero distance to get zero losses,0,0,-1
5,67,66,400.0,1,0,-1.0,1,ac,auto,0,0,-1
6,63,67,400.0,1,0,-1.0,1,ac,auto,0,0,-1
7,40,65,42.894295,1,0,-1.0,1,ac,auto,0,0,-1
8,50,63,1032.0201,0,1,-1.0,1,ac,auto,0,0,-1
9,65,60,1032.0201,0,1,-1.0,1,ac,auto,0,0,-1
11,166,165,1447.6716,1,0,-1.0,1,dcmesh,auto,0,0,-1
13,163,167,1616.7177,1,0,-1.0,1,dcmesh,auto,0,0,-1
14,140,165,1685.6328,1,0,-1.0,1,dcmesh,auto,0,0,-1
15,165,104,1369.1295,1,0,-1.0,1,dcmesh,auto,0,0,-1
16,166,105,2000.0,1,0,-1.0,1,dcmesh,auto,0,0,-1
17,167,105,1616.1745,1,0,-1.0,1,dcmesh,auto,0,0,-1
18,104,4,1360.2236,1,0,-1.0,1,conv,auto,0,0,-1
19,105,5,3596.2454,1,0,-1.0,1,conv,auto,0,0,-1
20,140,40,1070.0064,1,0,-1.0,1,conv,auto,0,0,-1
21,163,63,1643.0058,1,0,-1.0,1,conv,auto,0,0,-1
22,165,65,2000.0,1,0,-1.0,1,conv,auto,0,0,-1
23,166,66,1417.9042,1,0,-1.0,1,conv,auto,0,0,-1
28,106,140,1040.2005,0,1,-1.0,1,dcmesh,auto,0,0,-1
29,106,6,1057.1143,0,1,-1.0,1,conv,auto,0,0,-1
