index,area,lat,lon,offshore,existing,cost_scaling,type,comment,id
4,UK,54.623031999999995,-1.124417,0,1,1,ac,UK Teeside,4
5,UK,53.794846,-0.409423,0,1,1,ac,UK Creyke Beck,5
6,DE,53.091499,7.692410000000001,0,1,1,ac,DE coast,6
7,NO,58.111367,6.777425,0,1,1,ac,NO coast,7
1,UK,52.5,-1.0,0,1,1,ac,UK mainland,1
2,DE,51.0,9.0,0,1,1,ac,DE mainland,2
3,NO,60.5,11.0,0,1,1,ac,NO mainland,3
66,dog,54.77318248,1.8756409280000002,1,1,1,ac,CA - Creyke Beck A,66
67,dog,54.91893311,1.6599039969999998,1,1,1,ac,CB1 - Creyke Beck B1,67
63,dog,55.01961148,1.656986017,1,1,1,ac,CB2 - Creyke Beck B2,63
65,dog,54.99677444,2.195774395,1,1,1,ac,TA - Teeside A,65
40,dog,55.035551,2.769907,1,1,1,ac,TB - Teeside B,40
50,dog,55.235184999999994,1.769585,1,1,1,ac,TC - Teeside C,50
60,dog,55.292975,2.3636619999999997,1,1,1,ac,TD - Teeside D,60
104,dog,54.623031999999995,-1.124417,0,1,1,dc,HVDC,104
105,dog,53.794846,-0.409423,0,1,1,dc,HVDC,105
140,dog,55.035551,2.769907,1,1,1,dc,HVDC,140
163,dog,55.01961148,1.656986017,1,1,1,dc,HVDC,163
165,dog,54.99677444,2.195774395,1,1,1,dc,HVDC,165
166,dog,54.77318248,1.8756409280000002,1,1,1,dc,HVDC,166
167,dog,54.91893311,1.6599039969999998,1,1,1,dc,HVDC,167
