method,nb_peeking,peeking_num,information_fraction,alpha_boundary
"obrien",1,1,1,0.05
"obrien",2,1,0.5,0.0054
"obrien",2,2,1,0.0492
"obrien",3,1,0.33,0.0006
"obrien",3,2,0.67,0.0151
"obrien",3,3,1,0.0471
"obrien",4,1,0.25,0.00005
"obrien",4,2,0.5,0.0039
"obrien",4,3,0.75,0.0184
"obrien",4,4,1,0.0412
"obrien",5,1,0.2,0.000005
"obrien",5,2,0.4,0.0013
"obrien",5,3,0.6,0.0085
"obrien",5,4,0.8,0.0228
"obrien",5,5,1,0.0417
"pocock",1,1,1,0.05
"pocock",2,1,0.5,0.0294
"pocock",2,2,1,0.0294
"pocock",3,1,0.33,0.0221
"pocock",3,2,0.67,0.0221
"pocock",3,3,1,0.0221
"pocock",4,1,0.25,0.0182
"pocock",4,2,0.5,0.0182
"pocock",4,3,0.75,0.0182
"pocock",4,4,1,0.0182
"pocock",5,1,0.2,0.0158
"pocock",5,2,0.4,0.0158
"pocock",5,3,0.6,0.0158
"pocock",5,4,0.8,0.0158
"pocock",5,5,1,0.0158
"haybittle–peto",1,1,1,0.05
"haybittle–peto",2,1,0.5,0.002
"haybittle–peto",2,2,1,0.05
"haybittle–peto",3,1,0.33,0.001
"haybittle–peto",3,2,0.67,0.001
"haybittle–peto",3,3,1,0.05
"haybittle–peto",4,1,0.25,0.01
"haybittle–peto",4,2,0.5,0.001
"haybittle–peto",4,3,0.75,0.001
"haybittle–peto",4,4,1,0.05
"haybittle–peto",5,1,0.2,0.001
"haybittle–peto",5,2,0.4,0.001
"haybittle–peto",5,3,0.6,0.001
"haybittle–peto",5,4,0.8,0.001
"haybittle–peto",5,5,1,0.05
